Comment,Score,Sentiment
can confirm: he never gave us up,0.0,Neutral
Did anyone else come from a YouTube profile QR code or am I the only one (I hope not)? Do you want a cookie?,0.0,Neutral
"Either you've been rickrolled or you just like the song. Or both. Either way, this is a banging song.",0.0,Neutral
But link sayd free Robux,0.4,Positive
Where me free Robux,0.4,Positive
NOOOOOOOO,0.0,Neutral
Really? In Pixel Flow game?,-0.1,Negative
"oh my god. ill remember this day 11:03 pm, June 16 2025. i just got Rick rolled",-0.5,Negative
Vim pelo vídeo do Max 😂😂😂😂,0.0,Neutral
I got rick rolled really bro,0.2,Positive
This song is published on my bday date ❤,0.0,Neutral
"did anyone else come here from a qr code from the visual novel: ""The False Sun""? the game was so tense but this earned a genuine laugh from me. 😭",-0.07222222222222222,Negative
This is still iconic after all these years 🔥,0.5,Positive
00:01,0.0,Neutral
00:00,0.0,Neutral
https://www.youtube.com/@etar,0.0,Neutral
IMMA GET RICKROLLES LOL😂😂😂😂,0.0,Neutral
"2,4 mio comments btw💀",0.0,Neutral
i just scanned qr code,0.0,Neutral
FREE DELUXE PACK,0.5,Positive
"We're no strangers to love
You know the rules and so do I (do I)
A full commitment's what I'm thinking of
You wouldn't get this from any other guy
I just wanna tell you how I'm feeling
Gotta make you understand
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
We've known each other for so long
Your heart's been aching, but you're too shy to say it (say it)
Inside, we both know what's been going on (going on)
We know the game and we're gonna play it
And if you ask me how I'm feeling
Don't tell me you're too blind to see
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
We've known each other for so long
Your heart's been aching, but you're too shy to say it (to say it)
Inside, we both know what's been going on (going on)
We know the game and we're gonna play it
I just wanna tell you how I'm feeling
Gotta make you understand
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you
Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you",-0.15879629629629627,Negative
Son😂😂😂😂,0.0,Neutral
"Кто сюда попал от  прохождения ""закулисье"" Куплинова",0.0,Neutral
IMHO :Looks like this is where 47 copied all his rally dance moves!,0.0,Neutral
i got rickrolled by google ai,0.0,Neutral
"You look absolutely stunning today. That outfit truly enhances your natural beauty.""",0.3,Positive
1:42  this song so good a like this!!!,1.0,Positive
Obrigado jogo de anomalia idiota kkkkkkkkk,0.0,Neutral
Vim pelo @MaxMRMGAMEPLAY,0.0,Neutral
gemini ile kod yazarken beni buraya gönderdi :D,1.0,Positive
But link sayd free robux,0.4,Positive
HOW DID I FALL FOR THIS IN 2026😭🥀,0.0,Neutral
FEELING GREAT FOR NOT HAVING YOUTUBE PREMIUM,0.8,Positive
This time I just wanted to hear the song lmfao,0.0,Neutral
Team june 2026 ❤👇,0.0,Neutral
Add safe me from beding rickrolled,0.5,Positive
0:06 bro the meme,0.0,Neutral
"""Imagine making a song so iconic that the internet turns it into a permanent cultural landmark."" 😄🎵",0.3,Positive
But the link said free robux🥀,0.4,Positive
@ochkalov its 2026 now,0.0,Neutral
I found a minecraft cape with the code and i scanned it then i got rick rolled,0.0,Neutral
Cbse😂😂,0.0,Neutral
Wow Great video and music i love this video so great making video thanks for this video,0.4800000000000001,Positive
test test test,0.0,Neutral
Getting rickrolled by harvey norman😢😢😊,0.0,Neutral
"Eu vim, pelo jogo😮",0.0,Neutral
"Even after 16 years, this song still hits different. It’s crazy how one video became a whole internet culture. Every time I click a random link, part of me expects this to pop up 😂 Legendary track and even more legendary meme.",0.2285714285714286,Positive
Gotta be my favorite video,0.5,Positive
I got  Rick Roll,0.0,Neutral
"Meme aside, this shit 🔥 🙌🏾🙌🏾",-0.2,Negative
